accession	Mut_L0_1	Mut_L0_2	Mut_L3_1	Mut_L3_2	URT1_L12_1_2019	URT1_L12_2_2019	URT1_L17_1_2019	URT1_L17_2_2019
AT1G32060.1	2	0	2	0	1	1	2	2
AT1G32380.1	2	1	1	0	1	1	0	2
AT1G32470.1	1	2	1	0	0	2	1	0
AT1G32580.1	0	0	0	0	1	0	1	2
AT1G32790.2	2	4	3	3	2	2	5	5
AT1G32990.1	0	2	2	1	2	2	3	2
AT1G33040.1	0	0	0	0	0	1	0	0
AT1G33120.1-AT1G33140.1	19	9	10	13	12	13	8	10
AT1G33170.1	0	0	1	0	0	1	0	0
AT1G33430.2	2	1	2	1	2	1	2	3
AT1G33680.1	2	2	0	2	7	10	3	2
AT1G34360.1	0	0	0	0	0	0	1	0
AT1G34430.1	6	3	4	5	2	2	3	5
AT1G35160.2	11	12	17	13	4	10	10	14
AT1G35620.1	0	0	0	0	0	0	1	1
AT1G35670.1	1	0	0	1	0	0	1	1
AT1G35680.1	2	2	4	3	4	1	5	1
AT1G35780.1	0	1	0	0	0	0	0	0
AT1G36160.1	18	24	9	11	11	10	12	11
AT1G36730.1	0	0	0	0	0	0	1	0
AT1G41830.1	0	0	1	0	0	1	1	0
AT1G42430.1	4	6	5	6	2	0	0	3
AT1G42970.1	29	34	31	31	24	26	31	25
AT1G43170.1	52	45	37	43	35	38	37	44
AT1G43190.1	1	1	3	4	3	2	2	3
AT1G43850.1	0	0	0	0	0	0	0	2
AT1G44575.1	3	0	4	3	2	3	3	3
AT1G45000.1	3	3	3	2	0	1	4	2
AT1G47128.1	16	15	15	11	12	13	16	17
AT1G47200.1	0	3	0	0	0	0	0	0
AT1G47490.1	0	1	1	2	1	3	1	1
AT1G47550.2	1	3	2	3	0	0	3	2
AT1G48030.1	1	0	0	0	1	0	0	0
AT1G48090.1	1	1	1	1	1	1	1	0
AT1G48110.1	0	0	3	0	2	1	2	0
AT1G48210.1	0	0	0	1	0	0	0	0
AT1G48410.2	4	2	3	2	6	9	14	10
AT1G48440.1	0	1	0	0	0	0	0	0
AT1G48480.1	1	0	1	2	1	0	2	0
AT1G48600.2	0	0	1	1	0	1	0	1
AT1G48630.1	3	3	3	2	1	4	3	5
AT1G48760.1	0	0	0	0	0	0	1	0
AT1G48830.1	0	0	1	0	0	0	0	1
AT1G48850.1	7	8	15	16	12	10	15	15
AT1G48860.1	3	2	2	2	1	1	2	1
AT1G48900.1	2	0	0	0	0	1	0	0
AT1G48920.1	19	28	32	37	7	5	25	33
AT1G49040.1	0	0	0	0	1	0	0	1
AT1G49240.1	41	44	42	42	45	36	40	44
AT1G49430.1	6	10	5	7	3	4	7	6
AT1G49600.1	0	2	0	1	1	4	2	3
AT1G49670.2	1	0	0	0	0	0	3	0
AT1G49760.1	18	10	15	10	18	21	17	18
AT1G50030.1	0	0	0	0	0	0	0	2
AT1G50200.1	4	6	4	5	3	2	4	5
AT1G50370.1	3	0	0	0	0	0	2	2
AT1G50430.1	0	1	0	0	0	0	1	0
AT1G50480.1	1	0	1	1	0	0	1	0
AT1G50920.1	0	0	1	0	0	0	1	0
AT1G51420.1	2	0	0	0	0	2	1	2
AT1G51570.1	1	1	6	4	2	1	2	7
AT1G51660.1	0	0	0	0	0	1	0	1
AT1G51690.3	0	1	1	0	0	0	2	1
AT1G52030.2	23	27	16	20	29	24	20	16
AT1G52040.1	14	23	7	13	14	8	14	9
AT1G52300.1	2	1	3	0	0	3	4	1
AT1G52360.2	7	8	7	8	5	4	8	6
AT1G52400.1	57	74	33	42	66	65	59	47
AT1G52410.2	0	0	0	1	1	0	0	0
AT1G52570.1	0	0	1	0	0	0	1	1
AT1G52730.2	10	8	8	7	7	10	9	9
AT1G52760.1	0	0	0	0	0	0	1	0
AT1G53070.1	1	2	0	1	1	2	2	0
AT1G53210.1	0	0	0	1	1	1	0	0
AT1G53240.1	4	5	4	4	3	3	3	2
AT1G53280.1	1	0	1	0	1	0	0	1
AT1G53310.1	1	1	1	2	0	0	2	2
AT1G53500.1	5	5	3	0	1	2	3	4
AT1G53750.1	4	4	3	3	0	0	1	0
AT1G53850.1	0	0	2	1	0	1	0	0
AT1G54000.1	0	0	0	0	0	1	0	0
AT1G54010.1	2	1	1	0	1	1	1	1
AT1G54020.2	2	1	1	1	1	0	0	1
AT1G54270.1	46	46	42	50	42	44	55	50
AT1G54410.1	0	2	2	4	1	1	5	4
AT1G54490.1	0	0	1	0	2	1	2	2
AT1G54520.1	0	0	0	0	1	2	0	0
AT1G54780.1	1	2	2	2	3	2	0	1
AT1G55210.1	1	0	0	0	0	0	0	0
AT1G55320.1	1	2	1	1	1	2	3	2
AT1G55480.1	0	0	1	0	0	0	0	0
AT1G55490.1	31	33	25	17	38	44	26	20
AT1G55500.2	0	2	0	1	2	0	6	3
AT1G55570.1	0	0	1	0	0	0	0	0
AT1G55670.1	2	3	2	2	1	1	4	3
AT1G55860.1	0	2	1	0	0	0	1	0
AT1G56070.1	67	57	62	66	52	55	68	59
AT1G56110.1	7	6	8	5	5	5	7	6
AT1G56190.1	10	8	11	10	5	8	14	10
AT1G56340.1	0	0	0	0	0	1	0	0
AT1G56360.1	0	0	0	0	1	1	0	1
AT1G56450.1	0	0	0	1	0	0	0	1
AT1G56580.1	0	0	0	0	0	1	0	0
AT1G57720.1	19	23	16	16	10	15	20	16
AT1G58380.1	15	16	6	13	16	16	17	18
AT1G59610.1	23	22	16	17	17	21	22	21
AT1G60070.2	10	14	6	10	3	7	5	7
