accession	F016864_2014_S17_control_C1	F016865_2014_S17_control_C2	F016867_2014_S17_URT1_H1	F016878_2014_S25_control_C5	F016880_2014_S25_URT1_H5	F016882_2015_S12_CTRL_1	F016883_2015_S12_CTRL_2	F016884_2015_S12_CTRL_3	F016886_2015_S12_URT1_myc2	F016887_2015_S12_URT1_myc3
AT2G18510.1	0	0	0	0	0	0	0	0	3	0
AT2G18790.1	0	0	0	0	0	0	30	41	0	0
AT2G18960.1	0	3	2	0	0	5	27	24	5	6
AT2G19480.1	0	0	0	0	0	7	0	16	12	20
AT2G19520.1	0	0	0	0	0	0	0	0	1	0
AT2G19830.1	2	0	0	0	0	0	0	0	0	0
AT2G21160.1	0	0	0	0	0	0	2	0	0	0
AT2G21330.1	0	0	3	0	0	0	0	0	0	0
AT2G21390.1	0	1	0	0	0	0	0	0	0	0
AT2G21410.1	0	0	0	0	0	38	98	80	0	0
AT2G21660.1	0	2	2	0	2	0	7	7	18	24
AT2G23350.1	0	0	0	0	0	0	4	4	8	9
AT2G24520.1	0	1	2	0	0	3	6	5	0	0
AT2G25890.1	0	0	0	0	0	4	5	13	2	3
AT2G27030.3-AT3G56800.1	0	0	0	0	0	0	3	0	0	0
AT2G28000.1	0	0	0	0	0	0	0	0	4	5
AT2G28790.1	0	0	0	0	0	0	1	3	0	0
AT2G28900.1	0	0	0	0	0	1	7	4	0	0
AT2G29500.1	0	1	0	0	0	0	0	0	0	0
AT2G29550.1	0	0	3	0	0	0	6	9	14	12
AT2G29900.1	0	0	0	0	0	0	2	2	0	0
AT2G30050.1	0	0	0	0	0	0	9	4	0	0
AT2G31610.1	1	2	1	0	0	0	0	0	1	1
AT2G32920.1	0	0	0	0	0	0	1	0	2	0
AT2G32950.1	0	0	0	0	0	0	1	0	0	0
AT2G33210.1	0	0	0	0	0	0	0	0	2	2
AT2G33340.1	0	0	0	0	0	0	0	2	1	0
AT2G33800.1	2	1	4	0	2	0	0	0	0	1
AT2G34160.1	0	0	0	0	0	0	1	0	4	4
AT2G34420.1	4	6	5	0	7	6	5	18	1	4
AT2G34660.1	0	0	0	0	0	0	6	3	0	0
AT2G34810.1	0	0	0	0	0	0	0	0	3	4
AT2G35020.1	0	0	0	0	0	0	7	4	0	0
AT2G36160.1	4	4	4	0	0	0	0	0	2	0
AT2G36830.1	0	0	0	0	0	0	4	0	0	0
AT2G36880.1	0	0	0	0	0	0	2	0	0	0
AT2G37190.1	3	1	0	0	0	2	2	0	0	0
AT2G37220.1	0	2	0	0	0	0	0	0	0	0
AT2G37230.1	0	0	0	0	0	4	0	0	0	0
AT2G37270.1	0	0	0	0	0	0	2	0	0	0
AT2G37620.1-AT3G53750.1	0	2	1	0	0	2	3	4	6	5
AT2G37690.1	21	78	29	31	3	12	63	78	0	0
AT2G38170.3	0	0	0	0	0	4	4	4	0	0
AT2G38410.1	0	0	0	0	2	0	0	0	0	0
AT2G38540.1	0	0	1	0	1	0	0	0	0	0
AT2G38580.1	0	0	0	0	0	0	5	0	7	1
AT2G38810.1	0	0	0	0	0	0	1	0	2	2
AT2G39310.1	0	0	0	0	0	6	10	11	0	0
AT2G39330.1	0	0	0	0	0	26	93	62	0	0
AT2G39460.1	2	3	2	0	0	0	1	0	2	0
AT2G39730.1	3	6	8	0	3	1	2	2	2	6
AT2G39990.1	0	0	2	0	0	0	0	0	0	0
AT2G40510.1	1	1	0	0	0	0	0	0	0	0
AT2G41840.1	0	0	0	0	0	0	3	0	2	4
AT2G42100.1	0	2	0	0	0	0	0	0	2	0
AT2G42520.1	0	0	10	0	2	0	14	11	16	19
AT2G42740.1	1	3	2	0	0	0	2	0	4	0
AT2G42800.1	0	0	0	0	0	2	8	0	0	0
AT2G43030.1	1	2	4	0	0	2	1	0	2	2
AT2G43070.1	0	0	0	0	0	0	1	0	0	0
AT2G44640.1	1	0	0	0	0	0	3	3	0	0
AT2G45140.1	0	0	0	0	0	0	1	3	0	0
AT2G45620.1	0	0	80	0	99	0	0	0	248	324
AT2G45810.1	0	0	0	0	3	0	3	0	9	11
AT2G45960.3	2	7	3	0	0	4	8	12	12	10
AT2G46280.1	3	3	2	0	0	0	0	0	0	0
AT2G47470.1	0	3	6	0	4	5	28	31	18	21
AT2G47800.1	0	0	0	0	0	9	15	11	0	0
AT3G01280.1	0	0	0	0	0	0	7	14	0	0
AT3G01340.1	0	0	0	0	0	0	4	5	0	0
AT3G01390.1	0	0	0	0	0	18	45	52	0	0
AT3G01540.2	0	0	0	0	1	0	2	0	7	5
AT3G01670.1	0	0	0	0	0	15	54	45	0	0
AT3G01680.1	0	0	0	0	0	5	46	31	0	0
AT3G01930.2	0	0	0	0	0	0	2	0	0	0
AT3G02050.1	0	0	0	0	0	0	2	0	0	0
AT3G02090.2	0	0	0	0	0	0	0	3	0	0
AT3G03640.1	0	0	0	0	0	0	1	0	0	0
AT3G03780.1	0	1	3	0	0	0	1	0	0	0
AT3G03920.1	0	0	0	0	0	0	4	0	0	0
AT3G04120.1	3	9	5	0	0	1	4	6	8	6
AT3G04740.1	1	0	0	0	0	0	5	0	3	0
AT3G05060.1	0	0	0	0	0	0	20	15	26	6
AT3G05560.1	1	1	1	0	1	1	0	0	0	0
AT3G05590.1	0	0	2	0	0	0	2	0	0	0
AT3G06480.1	0	0	0	0	3	0	0	0	4	2
AT3G06510.2	0	0	0	0	2	0	0	0	0	0
AT3G06610.1	0	0	0	0	0	0	4	4	3	0
AT3G07020.2	0	2	0	0	0	0	0	0	0	0
AT3G07590.1	0	0	0	0	0	0	3	0	0	0
AT3G07770.1	0	0	0	0	0	0	3	4	0	0
AT3G08510.1	0	0	0	0	0	0	2	0	0	0
AT3G08530.1	0	0	2	0	0	0	0	0	0	0
AT3G08560.1	0	0	0	0	0	11	10	13	0	0
AT3G08580.1	0	6	6	0	0	11	10	18	3	8
AT3G08940.2	0	0	0	0	1	0	1	3	0	0
AT3G09180.1	1	0	0	0	0	0	0	0	0	0
AT3G09440.1	3	13	18	0	1	7	37	33	39	45
AT3G09630.1	0	0	3	0	0	0	1	0	0	2
AT3G10090.1-AT5G03850.1	0	0	2	0	0	0	0	0	0	0
AT3G11130.1	0	0	2	0	0	0	0	0	0	0
AT3G11510.1	4	3	6	0	0	0	1	0	2	0
AT3G11710.1	0	0	0	0	0	3	23	34	14	20
AT3G11940.1	2	0	0	0	0	0	4	2	2	2
AT3G12110.1	1	3	2	0	0	4	4	5	7	5
AT3G12145.1	0	0	0	0	0	0	17	9	9	6
AT3G12390.1	0	0	2	0	0	0	0	0	2	2
AT3G12580.1	2	14	14	0	1	7	31	29	34	39
AT3G12780.1	0	0	2	0	0	0	0	0	0	0
AT3G13460.1	0	0	0	0	0	0	0	0	3	7
AT3G13470.1	0	0	4	0	0	0	0	0	4	3
AT3G13570.1	0	0	0	0	0	0	2	0	0	0
AT3G13920.2	3	2	3	0	0	1	3	9	5	8
AT3G14110.3	0	0	0	0	0	3	1	0	0	0
AT3G14210.1	1	5	0	0	0	20	98	70	0	0
AT3G14220.1	0	0	0	0	0	0	5	1	0	0
AT3G14310.1	0	0	1	0	5	0	3	0	0	0
AT3G14590.2	0	0	0	0	0	0	0	0	0	3
AT3G15010.1	0	0	0	0	0	0	2	0	2	2
AT3G15356.1	0	0	0	9	20	0	0	0	0	0
AT3G15730.1	2	3	8	0	0	19	163	53	461	46
AT3G16240.1	0	0	0	0	0	0	28	22	0	0
AT3G16470.1	0	1	0	0	0	40	152	89	0	0
AT3G16530.1	0	0	0	1	7	0	0	0	0	0
AT3G16640.1	0	0	0	0	0	0	1	0	0	0
AT3G17390.1	0	0	0	0	0	0	2	0	0	0
AT3G17840.1	0	0	0	0	0	0	3	0	0	0
AT3G18570.1	0	0	0	0	0	1	0	10	0	0
AT3G18780.2	0	2	2	0	0	2	1	1	3	2
AT3G18890.1	0	3	0	0	0	0	0	0	0	0
AT3G19760.1	4	1	2	0	0	0	0	0	1	0
AT3G19820.1	0	0	0	0	0	2	17	5	0	0
AT3G19860.2	0	0	0	0	0	0	0	3	0	0
AT3G20000.1	0	0	0	0	0	0	2	0	0	0
AT3G20820.1	1	2	6	0	0	4	8	13	13	13
AT3G21370.1	0	0	0	0	0	6	22	11	1	0
AT3G22330.1	0	0	0	0	0	0	3	3	9	7
AT3G22520.1	0	0	0	1	0	0	2	3	0	0
AT3G23450.1	0	0	0	0	0	2	0	6	4	4
AT3G23730.1	0	0	0	0	1	0	2	0	0	0
AT3G23810.1	0	4	0	0	0	0	0	0	0	0
AT3G23990.1	0	0	0	0	0	0	0	0	2	4
AT3G25150.2	0	0	0	0	0	0	0	0	3	5
AT3G25220.1	0	0	0	0	0	0	7	3	2	3
AT3G25230.2	0	0	0	0	0	0	1	0	0	0
AT3G25520.1	0	0	0	0	0	0	2	0	0	0
AT3G25920.1	0	2	6	0	0	0	0	0	0	0
AT3G26420.1	0	0	0	0	0	0	0	0	0	1
AT3G26520.1	0	0	0	0	0	9	16	10	0	0
AT3G26650.1	6	5	10	0	6	0	2	0	4	3
AT3G27020.1	0	0	0	0	0	0	6	0	0	0
AT3G27830.1	3	3	4	0	0	0	1	0	2	0
AT3G28220.1	0	0	0	0	0	11	43	23	0	0
AT3G28710.1	0	0	0	0	0	9	81	63	0	0
AT3G28715.1	0	0	0	0	0	9	80	62	0	0
AT3G28730.1	0	0	0	0	0	0	0	0	3	0
AT3G28860.1	0	0	0	0	0	0	1	0	0	0
AT3G29075.1	2	0	2	0	0	0	6	0	32	2
AT3G42050.1	0	0	0	0	0	14	49	37	0	0
AT3G44750.1	0	0	0	0	0	1	0	0	9	4
AT3G44890.1	0	2	6	0	0	0	2	3	0	2
AT3G45030.1-AT5G62300.1	1	2	3	0	0	0	2	0	0	0
AT3G46520.1	1	3	2	0	0	4	4	5	7	5
AT3G46740.1	6	4	2	0	0	3	13	13	0	0
AT3G46780.1	2	5	8	0	0	0	0	0	0	0
AT3G47370.2	1	2	3	0	0	0	2	0	0	0
AT3G47470.1	0	0	2	0	5	0	0	0	0	0
AT3G47520.1	0	0	2	0	0	0	0	0	0	0
AT3G48870.1	0	0	5	0	0	0	0	0	0	0
AT3G49430.1	0	2	0	0	0	0	2	0	3	0
AT3G49470.1	0	0	0	0	0	0	0	0	0	2
AT3G49720.1	0	0	0	0	2	0	4	5	0	0
AT3G49990.1	0	0	0	0	0	3	3	0	5	0
AT3G50370.1	0	0	0	0	0	0	0	0	0	1
AT3G50730.1	0	0	0	0	0	0	2	0	0	0
